Time,C0,C1,C2,C3
1621631610316,0.0,0.0,0.0,0.0
1621631610417,0.0,0.0,0.0,0.0
1621631610517,0.0,9.1,0.0,0.0
1621631610618,0.0,0.0,0.0,0.0
1621631610718,0.0,0.0,0.0,0.0
1621631610819,0.0,0.0,0.0,0.0
1621631610919,0.0,9.1,0.0,0.0
1621631611020,25.0,0.0,0.0,0.0
1621631611120,56.3,9.1,10.0,0.0
1621631611221,61.1,0.0,0.0,0.0
1621631611321,60.0,0.0,0.0,0.0
1621631611421,56.3,10.0,9.1,9.1
1621631611522,60.0,9.1,0.0,0.0
1621631611622,56.2,0.0,0.0,0.0
1621631611723,53.3,0.0,0.0,9.1
1621631611823,58.8,0.0,0.0,10.0
1621631611924,62.5,9.1,10.0,10.0
1621631612024,58.8,9.1,10.0,8.3
1621631612125,62.5,0.0,0.0,0.0
1621631612225,56.3,0.0,10.0,0.0
1621631612326,62.5,10.0,10.0,0.0
1621631612426,58.8,9.1,0.0,0.0
1621631612527,56.3,0.0,0.0,0.0
1621631612627,58.8,10.0,0.0,0.0
1621631612728,57.1,9.1,0.0,0.0
1621631612828,61.1,10.0,0.0,0.0
1621631612929,60.0,0.0,0.0,10.0
1621631613029,58.8,9.1,10.0,0.0
1621631613129,53.3,10.0,0.0,0.0
1621631613230,58.8,0.0,0.0,10.0
1621631613330,60.0,10.0,0.0,0.0
1621631613431,61.1,0.0,0.0,10.0
1621631613531,60.0,0.0,0.0,0.0
1621631613632,61.1,9.1,0.0,0.0
1621631613732,60.0,10.0,10.0,0.0
1621631613833,66.7,20.0,18.2,11.1
1621631613933,57.1,10.0,11.1,18.2
1621631614034,58.8,10.0,0.0,0.0
1621631614134,64.7,0.0,0.0,0.0
1621631614235,56.3,10.0,9.1,0.0
1621631614335,58.8,0.0,10.0,0.0
1621631614436,50.0,0.0,0.0,10.0
1621631614536,56.3,9.1,0.0,9.1
1621631614637,60.0,0.0,0.0,10.0
1621631614737,56.3,0.0,10.0,0.0
1621631614838,56.3,0.0,0.0,0.0
1621631614938,58.8,16.7,10.0,0.0
1621631615038,58.8,10.0,0.0,0.0
1621631615139,60.0,9.1,10.0,0.0
1621631615239,53.3,0.0,0.0,0.0
1621631615340,53.3,9.1,0.0,0.0
1621631615441,58.8,10.0,0.0,0.0
1621631615541,58.8,0.0,18.2,0.0
1621631615642,62.5,10.0,0.0,0.0
1621631615742,56.2,0.0,10.0,0.0
1621631615842,53.3,10.0,10.0,0.0
1621631615943,60.0,0.0,10.0,10.0
1621631616043,38.5,0.0,0.0,10.0
1621631616144,0.0,9.1,0.0,0.0
1621631616244,0.0,0.0,0.0,0.0
1621631616345,0.0,0.0,9.1,0.0
1621631616445,0.0,0.0,0.0,0.0
1621631616546,0.0,0.0,0.0,0.0
1621631616646,0.0,0.0,0.0,0.0
1621631616747,0.0,0.0,0.0,0.0
1621631616847,0.0,0.0,0.0,0.0
1621631616948,0.0,9.1,0.0,0.0
1621631617048,0.0,9.1,0.0,9.1
1621631617149,0.0,0.0,0.0,0.0
1621631617249,0.0,0.0,0.0,0.0
1621631617350,0.0,0.0,0.0,0.0
1621631617450,0.0,0.0,0.0,0.0
1621631617551,0.0,0.0,0.0,0.0
1621631617651,0.0,0.0,0.0,0.0
1621631617751,0.0,0.0,0.0,0.0
1621631617852,61.5,9.1,0.0,0.0
1621631617952,62.5,18.2,10.0,0.0
1621631618053,62.5,10.0,10.0,0.0
1621631618153,62.5,18.2,0.0,9.1
1621631618254,62.5,0.0,0.0,18.2
1621631618354,60.0,9.1,0.0,0.0
1621631618455,62.5,10.0,0.0,0.0
1621631618555,66.7,0.0,0.0,0.0
1621631618656,56.3,18.2,0.0,10.0
1621631618756,62.5,9.1,9.1,0.0
1621631618857,62.5,0.0,0.0,0.0
1621631618957,56.3,0.0,0.0,18.2
1621631619058,62.5,10.0,10.0,18.2
1621631619158,64.7,9.1,0.0,0.0
1621631619259,62.5,10.0,0.0,0.0
1621631619359,64.3,10.0,0.0,0.0
1621631619460,58.8,18.2,18.2,10.0
1621631619560,66.7,33.3,20.0,20.0
1621631619661,60.0,10.0,0.0,0.0
1621631619761,58.8,18.2,0.0,11.1
1621631619862,62.5,10.0,10.0,0.0
1621631619962,60.0,18.2,0.0,0.0
1621631620063,62.5,9.1,0.0,0.0
1621631620163,62.5,0.0,9.1,0.0
1621631620263,60.0,0.0,0.0,0.0
1621631620364,64.7,9.1,0.0,10.0
1621631620465,62.5,18.2,10.0,9.1
1621631620565,62.5,10.0,0.0,0.0
1621631620666,62.5,18.2,0.0,0.0
1621631620766,64.7,0.0,0.0,9.1
1621631620866,62.5,10.0,18.2,0.0
1621631620967,60.0,10.0,10.0,0.0
1621631621067,60.0,18.2,10.0,0.0
1621631621168,61.1,9.1,0.0,9.1
1621631621269,60.0,10.0,0.0,0.0
1621631621369,64.7,18.2,0.0,0.0
1621631621470,60.0,10.0,0.0,0.0
1621631621570,62.5,9.1,0.0,0.0
1621631621671,58.8,0.0,10.0,10.0
1621631621771,62.5,18.2,11.1,10.0
1621631621872,60.0,10.0,10.0,0.0
1621631621972,64.7,9.1,0.0,10.0
1621631622073,60.0,10.0,10.0,9.1
1621631622173,61.1,0.0,0.0,10.0
1621631622274,62.5,10.0,0.0,0.0
1621631622374,62.5,0.0,0.0,0.0
1621631622475,62.5,10.0,10.0,0.0
1621631622575,57.1,10.0,0.0,0.0
1621631622676,62.5,0.0,0.0,0.0
1621631622776,56.3,0.0,0.0,0.0
1621631622877,0.0,0.0,0.0,0.0
1621631622977,0.0,0.0,9.1,0.0
1621631623078,0.0,0.0,0.0,0.0
1621631623178,0.0,0.0,0.0,0.0
1621631623278,0.0,0.0,0.0,0.0
1621631623379,0.0,0.0,0.0,0.0
1621631623479,9.1,0.0,0.0,9.1
1621631623580,0.0,0.0,0.0,0.0
1621631623680,0.0,0.0,0.0,0.0
1621631623781,0.0,10.0,11.1,0.0
1621631623881,0.0,0.0,0.0,0.0
1621631623981,0.0,0.0,9.1,0.0
1621631624082,0.0,0.0,0.0,0.0
1621631624182,0.0,0.0,0.0,0.0
1621631624283,0.0,0.0,0.0,0.0
1621631624383,0.0,0.0,0.0,0.0
1621631624484,0.0,9.1,0.0,0.0
1621631624584,38.5,0.0,0.0,0.0
1621631624685,62.5,0.0,0.0,0.0
1621631624785,68.7,18.2,9.1,0.0
1621631624886,60.0,0.0,0.0,0.0
1621631624986,66.7,10.0,0.0,11.1
1621631625087,62.5,0.0,10.0,0.0
1621631625187,66.7,0.0,0.0,10.0
1621631625288,60.0,10.0,0.0,0.0
1621631625388,62.5,0.0,0.0,0.0
1621631625489,62.5,0.0,0.0,0.0
1621631625589,68.8,0.0,0.0,11.1
1621631625690,57.1,10.0,0.0,10.0
1621631625790,64.7,10.0,0.0,11.1
1621631625891,60.0,0.0,10.0,0.0
1621631625991,68.8,30.8,20.0,18.2
1621631626092,62.5,10.0,0.0,0.0
1621631626193,68.8,10.0,10.0,10.0
1621631626293,60.0,0.0,0.0,0.0
1621631626394,68.8,0.0,0.0,0.0
1621631626494,60.0,10.0,0.0,0.0
1621631626595,66.7,0.0,10.0,0.0
1621631626695,64.7,0.0,0.0,0.0
1621631626796,60.0,10.0,0.0,0.0
1621631626896,66.7,10.0,0.0,0.0
1621631626997,70.6,11.1,10.0,20.0
1621631627097,66.7,0.0,0.0,0.0
1621631627198,64.3,9.1,10.0,0.0
1621631627298,68.8,10.0,0.0,0.0
1621631627398,64.3,10.0,0.0,0.0
1621631627499,68.7,10.0,0.0,0.0
1621631627599,60.0,0.0,9.1,10.0
1621631627700,68.8,10.0,0.0,0.0
1621631627801,60.0,18.2,27.3,11.1
1621631627901,64.7,0.0,0.0,0.0
1621631628002,66.7,10.0,10.0,18.2
1621631628102,69.2,0.0,0.0,10.0
1621631628203,68.8,10.0,0.0,0.0
1621631628304,64.3,0.0,0.0,0.0
1621631628404,64.3,10.0,10.0,0.0
1621631628505,68.7,10.0,0.0,0.0
1621631628606,64.3,0.0,0.0,0.0
1621631628706,62.5,10.0,10.0,0.0
1621631628807,66.7,9.1,18.2,10.0
1621631628907,68.8,0.0,0.0,0.0
1621631629008,60.0,0.0,11.1,20.0
1621631629108,66.7,10.0,0.0,0.0
1621631629209,64.7,18.2,0.0,0.0
1621631629309,66.7,10.0,10.0,0.0
1621631629410,62.5,10.0,0.0,0.0
1621631629510,66.7,25.0,11.1,10.0
1621631629611,27.3,18.2,10.0,20.0
1621631629711,0.0,0.0,0.0,0.0
1621631629812,9.1,0.0,0.0,0.0
1621631629912,0.0,0.0,0.0,0.0
1621631630013,0.0,0.0,0.0,10.0
1621631630113,0.0,0.0,0.0,0.0
1621631630214,0.0,0.0,0.0,0.0
1621631630314,0.0,0.0,0.0,0.0
1621631630415,0.0,0.0,0.0,0.0
1621631630515,0.0,0.0,0.0,0.0
1621631630616,0.0,0.0,0.0,0.0
1621631630716,0.0,0.0,0.0,0.0
1621631630817,0.0,0.0,0.0,0.0
1621631630917,0.0,0.0,0.0,0.0
1621631631017,0.0,0.0,0.0,0.0
1621631631118,0.0,0.0,0.0,10.0
1621631631218,0.0,0.0,0.0,0.0
1621631631319,10.0,0.0,0.0,0.0
1621631631419,68.8,11.1,18.2,0.0
1621631631520,71.4,18.2,0.0,0.0
1621631631621,71.4,0.0,0.0,0.0
1621631631721,64.3,10.0,0.0,10.0
1621631631822,68.7,10.0,25.0,0.0
1621631631922,66.7,18.2,0.0,0.0
1621631632023,71.4,11.1,18.2,18.2
1621631632123,66.7,10.0,0.0,0.0
1621631632224,66.7,25.0,0.0,0.0
1621631632325,69.2,10.0,0.0,10.0
1621631632425,73.3,18.2,0.0,0.0
1621631632526,62.5,18.2,0.0,10.0
1621631632626,64.3,10.0,0.0,0.0
1621631632727,68.8,10.0,0.0,0.0
1621631632827,64.3,10.0,10.0,0.0
1621631632928,68.8,10.0,9.1,10.0
1621631633028,68.8,10.0,0.0,10.0
1621631633129,60.0,18.2,0.0,0.0
1621631633229,66.7,10.0,0.0,0.0
1621631633330,68.7,10.0,0.0,0.0
1621631633430,64.3,9.1,0.0,0.0
1621631633531,62.5,0.0,0.0,0.0
1621631633631,66.7,10.0,0.0,10.0
1621631633731,68.8,10.0,10.0,0.0
1621631633832,71.4,33.3,11.1,20.0
1621631633933,66.7,10.0,0.0,10.0
1621631634033,60.0,10.0,10.0,10.0
1621631634134,68.8,10.0,0.0,0.0
1621631634234,66.7,0.0,0.0,0.0
1621631634334,66.7,0.0,0.0,0.0
1621631634435,66.7,0.0,0.0,0.0
1621631634536,66.7,11.1,0.0,11.1
1621631634636,66.7,10.0,0.0,0.0
1621631634737,68.8,18.2,0.0,10.0
1621631634837,64.3,0.0,0.0,0.0
1621631634938,64.3,0.0,0.0,0.0
1621631635038,66.7,10.0,10.0,18.2
1621631635139,73.3,10.0,0.0,0.0
1621631635239,64.3,0.0,0.0,0.0
1621631635340,64.3,18.2,0.0,0.0
1621631635440,68.8,10.0,9.1,10.0
1621631635541,68.8,18.2,0.0,10.0
1621631635641,66.7,0.0,0.0,10.0
1621631635742,64.3,0.0,0.0,0.0
1621631635842,66.7,10.0,0.0,0.0
1621631635943,68.8,10.0,0.0,0.0
1621631636043,64.3,18.2,18.2,0.0
1621631636144,64.7,0.0,0.0,0.0
1621631636245,66.7,0.0,0.0,0.0
1621631636345,46.2,9.1,0.0,0.0
1621631636446,0.0,0.0,0.0,0.0
1621631636546,0.0,0.0,0.0,0.0
1621631636646,0.0,0.0,0.0,0.0
1621631636747,0.0,0.0,0.0,9.1
1621631636847,0.0,0.0,0.0,0.0
1621631636948,10.0,0.0,9.1,0.0
1621631637048,0.0,0.0,10.0,10.0
1621631637149,0.0,0.0,0.0,0.0
1621631637249,0.0,0.0,0.0,0.0
1621631637349,0.0,0.0,0.0,0.0
1621631637450,0.0,0.0,0.0,0.0
1621631637550,0.0,0.0,0.0,9.1
1621631637651,0.0,0.0,0.0,0.0
1621631637751,10.0,0.0,0.0,10.0
1621631637852,0.0,10.0,0.0,0.0
1621631637952,0.0,0.0,0.0,0.0
1621631638053,9.1,0.0,0.0,0.0
1621631638153,53.8,0.0,0.0,0.0
1621631638254,73.3,18.2,10.0,0.0
1621631638354,69.2,18.2,0.0,10.0
1621631638455,73.3,10.0,0.0,0.0
1621631638555,64.3,0.0,0.0,0.0
1621631638656,71.4,10.0,10.0,0.0
1621631638756,68.7,10.0,10.0,10.0
1621631638857,69.2,10.0,0.0,0.0
1621631638957,73.3,18.2,0.0,0.0
1621631639058,66.7,11.1,27.3,0.0
1621631639158,71.4,10.0,10.0,0.0
1621631639259,71.4,10.0,0.0,10.0
1621631639359,64.3,10.0,0.0,10.0
1621631639460,73.3,25.0,10.0,0.0
1621631639560,69.2,11.1,20.0,33.3
1621631639661,73.3,10.0,18.2,0.0
1621631639761,71.4,10.0,0.0,0.0
1621631639862,71.4,0.0,10.0,10.0
1621631639962,66.7,0.0,18.2,0.0
1621631640063,71.4,10.0,10.0,18.2
1621631640163,66.7,0.0,10.0,10.0
1621631640264,69.2,0.0,0.0,18.2
1621631640365,75.0,10.0,0.0,10.0
1621631640465,71.4,10.0,0.0,0.0
1621631640566,66.7,18.2,10.0,10.0
1621631640666,69.2,10.0,0.0,0.0
1621631640766,73.3,0.0,10.0,11.1
1621631640867,66.7,0.0,0.0,0.0
1621631640967,66.7,10.0,0.0,10.0
1621631641068,69.2,10.0,11.1,25.0
1621631641169,73.3,10.0,9.1,0.0
1621631641269,64.3,0.0,0.0,10.0
1621631641370,73.3,0.0,0.0,0.0
1621631641470,71.4,10.0,10.0,11.1
1621631641571,69.2,0.0,0.0,10.0
1621631641671,73.3,10.0,0.0,10.0
1621631641772,73.3,20.0,20.0,11.1
1621631641873,64.3,0.0,0.0,0.0
1621631641973,71.4,10.0,0.0,0.0
1621631642074,69.2,27.3,0.0,10.0
1621631642174,68.8,0.0,0.0,10.0
1621631642275,71.4,10.0,10.0,0.0
1621631642375,66.7,9.1,10.0,10.0
1621631642476,71.4,0.0,0.0,18.2
1621631642576,64.3,10.0,0.0,0.0
1621631642677,69.2,10.0,0.0,10.0
1621631642777,75.0,10.0,0.0,0.0
1621631642878,64.3,18.2,0.0,0.0
1621631642978,71.4,10.0,0.0,10.0
1621631643079,66.7,18.2,10.0,10.0
1621631643179,10.0,9.1,0.0,0.0
1621631643280,0.0,0.0,0.0,0.0
1621631643381,0.0,0.0,0.0,0.0
1621631643481,0.0,0.0,0.0,0.0
1621631643582,0.0,0.0,0.0,0.0
1621631643682,0.0,0.0,0.0,0.0
1621631643782,10.0,0.0,0.0,10.0
1621631643883,0.0,0.0,0.0,0.0
1621631643983,0.0,0.0,0.0,0.0
1621631644084,0.0,0.0,9.1,0.0
1621631644184,0.0,0.0,0.0,0.0
1621631644285,0.0,0.0,0.0,0.0
1621631644385,0.0,0.0,0.0,0.0
1621631644486,0.0,0.0,0.0,0.0
1621631644586,0.0,0.0,0.0,0.0
1621631644687,0.0,0.0,9.1,0.0
1621631644787,0.0,0.0,0.0,0.0
1621631644887,41.7,0.0,0.0,0.0
1621631644988,78.6,0.0,0.0,10.0
1621631645089,69.2,10.0,11.1,27.3
1621631645189,76.9,0.0,0.0,0.0
1621631645290,71.4,0.0,0.0,0.0
1621631645390,78.6,0.0,0.0,0.0
1621631645491,71.4,0.0,0.0,0.0
1621631645591,71.4,25.0,0.0,18.2
1621631645692,76.9,0.0,10.0,0.0
1621631645792,71.4,11.1,10.0,33.3
1621631645893,76.9,0.0,0.0,0.0
1621631645994,75.0,10.0,10.0,18.2
1621631646094,78.6,11.1,11.1,0.0
1621631646195,76.9,0.0,0.0,10.0
1621631646295,78.6,10.0,0.0,11.1
1621631646396,76.9,10.0,0.0,25.0
1621631646497,73.3,0.0,10.0,0.0
1621631646597,76.9,10.0,0.0,0.0
1621631646698,71.4,10.0,0.0,10.0
1621631646798,69.2,0.0,0.0,20.0
1621631646899,73.3,0.0,20.0,0.0
1621631646999,75.0,11.1,0.0,20.0
1621631647100,83.3,18.2,0.0,10.0
1621631647200,78.6,10.0,0.0,0.0
1621631647301,76.9,18.2,0.0,0.0
1621631647401,76.9,10.0,0.0,0.0
1621631647502,71.4,25.0,10.0,0.0
1621631647602,76.9,0.0,0.0,10.0
1621631647703,78.6,0.0,0.0,0.0
1621631647803,75.0,20.0,0.0,0.0
1621631647904,76.9,0.0,0.0,25.0
1621631648004,75.0,10.0,0.0,10.0
1621631648105,73.3,18.2,11.1,10.0
1621631648206,73.3,0.0,0.0,10.0
1621631648306,69.2,0.0,10.0,11.1
1621631648406,71.4,10.0,0.0,18.2
1621631648507,69.2,0.0,10.0,18.2
1621631648607,78.6,27.3,0.0,10.0
1621631648708,71.4,9.1,0.0,10.0
1621631648809,76.9,0.0,0.0,0.0
1621631648909,71.4,0.0,0.0,0.0
1621631649010,71.4,0.0,0.0,11.1
1621631649110,76.9,0.0,11.1,25.0
1621631649211,73.3,10.0,0.0,0.0
1621631649311,69.2,0.0,0.0,0.0
1621631649412,76.9,0.0,0.0,18.2
1621631649513,71.4,10.0,10.0,11.1
1621631649613,69.2,27.3,0.0,20.0
1621631649714,71.4,0.0,10.0,0.0
1621631649814,73.3,10.0,10.0,20.0
1621631649915,20.0,0.0,0.0,9.1
1621631650015,9.1,0.0,0.0,0.0
1621631650115,0.0,9.1,0.0,0.0
1621631650216,0.0,0.0,0.0,0.0
1621631650316,0.0,0.0,0.0,0.0
1621631650417,10.0,0.0,0.0,10.0
1621631650517,0.0,0.0,0.0,0.0
1621631650618,0.0,0.0,0.0,0.0
1621631650718,0.0,0.0,0.0,0.0
1621631650819,0.0,0.0,0.0,0.0
1621631650919,0.0,0.0,0.0,0.0
1621631651020,0.0,0.0,0.0,0.0
1621631651120,0.0,10.0,0.0,9.1
1621631651221,10.0,9.1,0.0,0.0
1621631651321,0.0,0.0,0.0,0.0
1621631651421,0.0,0.0,0.0,0.0
1621631651522,0.0,0.0,0.0,0.0
1621631651622,0.0,0.0,0.0,0.0
1621631651723,78.6,0.0,0.0,0.0
1621631651823,83.3,20.0,0.0,20.0
1621631651924,76.9,0.0,0.0,0.0
1621631652024,76.9,0.0,10.0,0.0
1621631652125,75.0,0.0,0.0,11.1
1621631652226,73.3,10.0,0.0,10.0
1621631652326,76.9,11.1,0.0,0.0
1621631652427,76.9,10.0,0.0,0.0
1621631652527,76.9,0.0,0.0,10.0
1621631652628,76.9,0.0,10.0,11.1
1621631652728,78.6,20.0,11.1,10.0
1621631652829,75.0,18.2,0.0,10.0
1621631652930,73.3,0.0,0.0,0.0
1621631653030,76.9,0.0,0.0,0.0
1621631653131,75.0,27.3,10.0,18.2
1621631653231,78.6,10.0,0.0,11.1
1621631653332,76.9,11.1,0.0,10.0
1621631653433,76.9,10.0,0.0,0.0
1621631653533,71.4,10.0,0.0,0.0
1621631653634,76.9,0.0,0.0,0.0
1621631653734,78.6,0.0,11.1,0.0
1621631653835,75.0,11.1,10.0,20.0
1621631653935,76.9,25.0,18.2,0.0
1621631654036,75.0,20.0,0.0,10.0
1621631654137,78.6,10.0,10.0,10.0
1621631654237,73.3,0.0,10.0,10.0
1621631654338,75.0,10.0,0.0,10.0
1621631654438,76.9,0.0,0.0,0.0
1621631654539,76.9,10.0,0.0,0.0
1621631654639,71.4,0.0,0.0,0.0
1621631654740,78.6,0.0,10.0,20.0
1621631654841,75.0,0.0,0.0,10.0
1621631654941,71.4,0.0,0.0,0.0
1621631655042,76.9,11.1,0.0,10.0
1621631655142,76.9,10.0,0.0,18.2
1621631655243,73.3,0.0,0.0,0.0
1621631655343,76.9,0.0,11.1,0.0
1621631655444,75.0,10.0,0.0,0.0
1621631655544,71.4,10.0,10.0,18.2
1621631655645,78.6,0.0,0.0,0.0
1621631655746,78.6,10.0,0.0,11.1
1621631655846,69.2,0.0,0.0,18.2
1621631655947,75.0,0.0,10.0,0.0
1621631656047,78.6,10.0,0.0,10.0
1621631656148,76.9,0.0,10.0,10.0
1621631656249,71.4,0.0,0.0,18.2
1621631656349,76.9,0.0,0.0,0.0
1621631656450,69.2,0.0,0.0,0.0
1621631656550,80.0,27.3,0.0,10.0
1621631656651,50.0,0.0,0.0,0.0
1621631656751,0.0,0.0,0.0,0.0
1621631656852,0.0,9.1,9.1,0.0
